frequency_hz,FP1-F7,F7-T3,T3-T5,T5-O1,FP2-F8,F8-T4,T4-T6,T6-O2,A1-T3,T3-C3,C3-CZ,CZ-C4,C4-T4,T4-A2,FP1-F3,F3-C3,C3-P3,P3-O1,FP2-F4,F4-C4,C4-P4,P4-O2
48.45328282828283,144.04020054323775,255.2908069646332,198.93065397455098,70.21953299460415,114.34391946625396,84.30442826816787,41.294656347634515,14.308724098342871,195.97297805423526,295.52239996895815,72.59890777994461,29.54692188164304,33.73069817492293,27.13483610867611,155.89125168890425,175.14159877929134,139.2295405181032,51.33923389639037,60.96907853120579,36.10958080705611,28.79699654534052,23.611485921016776
48.46045684113866,117.13640879014966,260.6306153616536,233.77992780849544,109.10234628348772,127.51161233522998,86.33869997452311,41.57429473371599,16.24137653590238,220.20717559688492,294.98332525192785,56.64036268177258,25.29926145958584,20.75694629501445,13.141840638154596,193.47336283456625,142.249390385021,131.36674209857068,66.21148659555502,83.85707894310238,47.32209757085026,27.105506767543208,13.708331437959393
48.46763085399449,111.34226489527109,213.66043587152708,197.19180161903463,93.81682197330484,127.0031329582444,49.45007583249149,46.163421139649735,13.508991869150327,220.75338827340448,180.98253508692764,59.99821552594985,25.76705658030336,28.077040100512395,33.6406169945682,107.05433087719689,125.65368598332505,131.08167487118163,46.829497630884305,62.86776291377358,20.07980055220904,26.252292865206133,17.829881300202214
48.47480486685032,126.93512905888046,210.39096036255683,132.66396229262264,101.49430228348635,126.53017518928647,75.73105373029313,52.07426851140496,13.271728857862618,159.21609935781052,290.5282659167357,94.63672101734313,23.34997325800326,28.25315158531676,30.908128443717903,96.0496164914673,179.95446423153234,181.5294064861532,98.61106915990666,61.45546873745462,44.60233199615034,28.592671879443923,24.886051483111842
48.481978879706155,78.95739219114834,232.71120761847288,239.11067049603128,63.51841623554996,110.66742257519404,93.6164732063549,38.12902438945028,14.027827299608715,224.41875623905864,374.5922843810625,78.42426150778294,20.32532638018075,22.772365904554675,26.64728964801362,124.15783998932703,185.5179483567717,139.72421134259187,97.57761646951532,88.42036919823892,48.51423569907787,26.32911779585158,22.17380714835036
48.48915289256198,59.84198769550019,285.5931377920797,242.38218200441932,72.70240427158227,77.8605768781122,69.29411264225439,35.68334347864035,14.418549708979219,245.7374638446547,359.23905735098884,65.38185830720518,29.184023877264416,31.41237201146875,41.66950120622819,92.98686372264096,167.15320638272323,106.32439400222684,82.69730514527383,87.56537336178756,49.70910359131497,39.828815705291966,29.2667927427059
48.49632690541782,59.73113900192764,234.3073916016041,264.61511595649716,96.86293470344923,88.37231472292679,34.058032767756636,50.867951981790775,16.78010926036469,221.45554236891394,332.37317823769035,101.9209705039901,36.7942571122401,40.716054780816144,34.75321085186193,99.80626505873761,232.37546197997463,186.91884467077855,96.04953921272195,87.1753935619058,46.76703104332207,38.33986882054289,26.679338436982537
48.503500918273645,65.79974655649434,194.61590743640986,143.13850422082527,90.991374874224,85.78513578551869,43.406959920508896,28.64668055032341,20.295866782386586,143.61665601193425,202.24900696453955,59.55088872836188,22.140258948041886,25.7310166526357,23.402704304898887,94.9195106281124,136.56018369279118,125.9797632013036,52.89295789344011,89.65462268578003,36.19340528650269,36.64810971153649,18.888012497494035
48.51067493112948,55.33786524287663,237.73384409083414,197.77231680453096,66.63189172414776,83.8286215737228,57.34995490447639,47.10139616481583,14.953756773297279,258.66753511759373,252.21185390612095,39.925773096032714,23.661326211080812,22.370667758631413,45.28809513520847,99.86958659630638,156.7098260257572,110.65741462582089,51.57844928407668,47.57714552815715,38.010718029583366,20.261170854144957,10.593930365160386
48.51784894398531,85.90554235002169,254.13086514679023,215.97219620550447,130.4370530827346,74.87427642335173,50.102095969206125,30.738280166339077,10.826263542381088,201.73330203401642,257.2238124191021,51.89495901340098,22.133596946375622,22.144568678497738,23.632902799684924,97.06176418610339,152.77756247273487,109.28409145064046,76.40773933820012,63.10453879932479,36.08529485440911,17.22187797767255,12.967398509657945
48.52502295684114,93.54550674876303,169.48257151068896,183.06362797629146,80.42073066028806,64.18605662810207,61.52912499667999,45.746802465106896,18.770643976260228,204.28121648335042,256.1472710304189,37.97496896270263,14.844390851229221,26.257191844999216,31.774039784580765,71.09473140399363,129.02102405012,86.08567863277672,66.54870313765046,43.81142105844221,44.30953309883549,24.12989368645404,21.294142586304613
48.53219696969697,103.68075256478625,110.59707369510636,135.6299220151794,86.03894519677137,70.96710763976772,65.66214426950538,37.41488647107223,15.816079038815397,188.96143372345708,198.85849217108841,59.60164510271919,27.898207574350426,31.675608898405756,40.011997755801474,127.54262365209753,132.85346796633627,131.39239024427476,66.43228592351893,55.523227137378896,42.979225371692706,33.9774092385231,29.606789706827403
48.5393709825528,98.98165185988962,163.83687557798018,125.46499121969262,105.56403522588306,58.92906461084866,34.5979400207481,40.684295887151265,17.323209983881803,197.22299846622073,210.7492906987144,65.68514558128666,32.09039582670244,33.466616068751826,27.75645686738228,122.83047337193749,141.29897481490207,98.58367554531988,60.09188789153675,91.10073778226537,42.91292332173947,36.966214402973584,23.750306397401722
48.54654499540863,97.70640679419101,141.3536959700328,157.53805400814673,54.19883953723574,52.66217097582165,37.0792749520174,36.069608291913866,16.67189382911716,156.32307622692935,211.8472489713643,61.46625024043455,26.809325017742957,34.183515517361656,37.18531276126278,93.96577207831528,160.6292196253479,94.81593143916558,57.156509649520295,54.88330453961611,39.61852563612076,37.68925101216385,26.424860948151775
48.553719008264466,69.92591535927173,159.74954205776015,179.1886866536757,95.4646442450838,84.69385037023451,41.248650095804045,44.954776261821365,14.191320694369955,268.2947311124935,229.417112818364,76.53476127763288,28.03760440174463,33.121405833579544,34.62187178864947,104.93657631903862,143.68937703858168,116.93425635219553,78.42789218839827,84.91715828297596,46.73229733336558,21.593025845900687,28.238074474561046
48.56089302112029,115.78916113137203,188.32403754327413,159.115072579771,71.55712723106896,89.39538427483849,52.867399672635855,42.849982726896556,24.2559046582519,178.99881612839582,222.33318426834316,61.57295117940452,32.57264780922925,39.86708912009968,39.28497134733563,56.578178339610645,145.47972534300396,102.79065087643632,67.19002846675,91.11421625425331,44.77405916670718,34.40477610644573,38.324869833425076
