frequency_hz,FP1-F7,F7-T3,T3-T5,T5-O1,FP2-F8,F8-T4,T4-T6,T6-O2,A1-T3,T3-C3,C3-CZ,CZ-C4,C4-T4,T4-A2,FP1-F3,F3-C3,C3-P3,P3-O1,FP2-F4,F4-C4,C4-P4,P4-O2
0.9775171065493646,-20.734759074797413,-27.804993293609538,-29.964912769334116,-30.40632861214909,-20.72304844723234,-29.55119107471879,-26.095484383704452,-23.76843258165331,-28.349027325957074,-23.103001372697282,-29.14483701422335,-29.82815581035001,-29.053368866972097,-28.67574465810776,-23.34573993637213,-27.512656068547184,-29.659933301021383,-24.765519930477645,-26.80111652532142,-30.070935031113606,-28.160412992751834,-22.836793773431587
1.099706744868035,-19.041561451774182,-26.04823732150587,-29.165393735014014,-30.26527855203252,-21.679741176183885,-32.39231181217767,-25.525014569081172,-25.45652400403645,-30.324987472844892,-25.947401566773905,-28.7631004187855,-29.98358323148347,-28.34803543137578,-28.17743187898535,-22.291311086142223,-23.878340855133793,-26.114423454107815,-24.88299966830193,-25.620548401959386,-31.304761770142623,-28.884316488739348,-24.497780006131507
1.2218963831867058,-21.558629959987943,-27.18646687283485,-29.077245779392026,-33.273257634604406,-21.01940663530799,-30.72539876034306,-26.755150497658942,-26.19287723077004,-28.286518630228553,-25.34012687703914,-31.817401759795885,-32.507721358742245,-29.725055673057643,-26.79582084355056,-24.225386693736855,-25.47738584265776,-27.594258154607992,-25.344429381189777,-24.82940089109334,-30.70535113604493,-29.829485752347836,-24.834506950316065
1.3440860215053765,-24.99596663255312,-25.943487041202754,-30.273755767794803,-30.47587894330584,-21.683633101244165,-29.540264148701368,-27.76594571720046,-27.209349984826282,-29.241885926345585,-25.31114682166809,-31.306426536266184,-31.52125875333521,-29.40961221755307,-27.925010703692042,-25.72938672187638,-25.096843744582102,-30.811625149584202,-28.918573115757304,-28.810456753835506,-32.52343853310184,-29.896528402157657,-28.41904639927701
1.466275659824047,-22.744082254597412,-26.423370638207075,-30.757409588209285,-29.53047150345419,-22.03338266548372,-26.43548313632693,-30.099922203516506,-26.892099850210613,-31.38102887460377,-25.17559678673363,-29.26182072017728,-32.50019967699186,-29.063050227571782,-32.68839615097271,-24.757522879373198,-24.57923770431472,-26.42540920884248,-25.20962328512261,-25.093873608973833,-28.73302546190081,-32.97809293032543,-26.156984167792753
1.5884652981427174,-25.946636429737215,-27.644244447255737,-33.55311371806606,-30.930438648063983,-20.2657151312729,-29.539156113482694,-28.572988688744033,-25.794204322128373,-31.82450726801158,-23.848849133982856,-29.166277921902065,-26.117289159743656,-30.691291933314414,-28.326380771586333,-28.788075135888917,-25.12451500714278,-26.5420746357671,-25.176504100864722,-24.215277685616755,-28.212236380630067,-31.595789496514247,-24.781214586531842
1.710654936461388,-21.11132915509013,-25.55441112379918,-28.158908601708905,-27.723971538613604,-17.571286967790044,-26.53227916926832,-29.89674282347108,-25.066561077575216,-28.676555178668224,-25.03330711703314,-26.673625754029402,-29.959345414262483,-28.807646590357532,-27.68380408903217,-23.315651652685876,-23.08951217596131,-25.940264295680457,-27.7329300613256,-23.327250144188017,-25.92171862575894,-30.748818333512443,-26.243230517859736
1.8328445747800588,-23.716412306368607,-25.972350618640597,-32.81798550158948,-33.19275285161602,-21.01627180955376,-26.94468482211375,-28.22182444267593,-27.71941987697784,-31.57630226345603,-27.1457324286619,-26.831133806046985,-28.516857383030533,-30.34139251012404,-27.277259335237893,-25.48681299373518,-24.49155317619847,-29.10860691283682,-25.905085033268048,-27.508098942155538,-26.516327768872475,-28.586783224432143,-22.51827682102717
1.9550342130987293,-25.527158295935635,-26.72724053393076,-30.884043204554516,-31.420536455311975,-23.608294397777293,-27.20319536041518,-25.475267000645754,-26.24313137713207,-32.53618997956824,-24.519406705573644,-26.977955477807853,-32.04654171636018,-31.48706114756884,-27.366924649388206,-27.116582230533275,-25.34783887248618,-27.276184850170882,-25.708241047325153,-25.086178317627915,-27.330177152670966,-25.203501042443584,-23.262149858420994
2.0772238514173997,-22.071541985433964,-26.022179819050177,-28.748929051365355,-28.89575324246186,-19.02602509927337,-26.340330763653334,-27.4931090126772,-24.18821707470742,-29.72615276604915,-23.325528170438105,-25.723996410213687,-30.777294426598342,-26.317696628685844,-26.325114210219954,-24.906633862235385,-24.47753680447613,-27.375205307217943,-25.099595979149488,-23.56880305701892,-27.24131817466656,-26.213227141669474,-25.209493376014414
2.19941348973607,-22.485650409402822,-25.546362029779907,-29.45862247989176,-30.99112888640581,-22.326133368478928,-26.876906398169695,-27.5660082344993,-26.664678539217878,-29.6915610830749,-26.930801348672016,-27.872203869715772,-29.10375225572314,-26.615832882799626,-29.412367566600057,-24.789995984919408,-24.780198434160287,-26.544371482844817,-25.388768835744113,-26.659048015843464,-27.422792160960835,-27.76386901351351,-24.10324103105658
2.321603128054741,-23.227061585536045,-29.958978296008098,-34.488449744819505,-31.801397973568516,-22.322032969307486,-29.450398980659134,-27.874110989089704,-27.37239999805475,-34.69073923734163,-27.89145846518282,-29.297510075331264,-30.32430247069822,-28.560493078644395,-30.170120415447293,-25.20013680895754,-26.375659798971963,-28.864698567876214,-26.630200442929944,-27.26973519934971,-30.98115269074527,-27.442179248924013,-28.40910329447212
2.4437927663734116,-24.191369508097605,-28.731053272667076,-36.207305728699396,-35.40944273950192,-22.34400294899948,-26.917438112386122,-27.31347587905962,-26.01238756165852,-35.93490834135809,-26.7486496012942,-28.409428109906695,-34.555955877424815,-29.256895079116582,-29.093917640843863,-26.008454388597926,-24.206039797568902,-29.88502972619805,-29.589112507046607,-25.508466920691994,-26.89932778246146,-28.787486516092972,-24.921815343572828
2.565982404692082,-24.591708620687456,-28.705266021952873,-33.8197702536421,-32.89159441274187,-22.906505543121305,-32.55077237827425,-30.58776972401355,-26.09227866810858,-34.48001250669994,-26.579807704426507,-28.74474807096818,-30.725894730261263,-30.763203276391003,-29.208242954175823,-27.20642965627797,-26.56875160335448,-31.569102700628836,-26.944221210425887,-26.472144699917784,-31.312530096030095,-34.35501554933532,-25.757329335657975
