frequency_hz,FP1-F7,F7-T3,T3-T5,T5-O1,FP2-F8,F8-T4,T4-T6,T6-O2,A1-T3,T3-C3,C3-CZ,CZ-C4,C4-T4,T4-A2,FP1-F3,F3-C3,C3-P3,P3-O1,FP2-F4,F4-C4,C4-P4,P4-O2
34.14169295478443,-10.246004381608785,-26.220436396925198,-17.3050316536836,-27.27332449102137,-15.537645497233783,-16.34509552404088,-17.891507474170403,-19.64108085929398,-12.874710600122707,-14.162989383574441,-12.782065175828592,-12.360201731807429,-16.935910487820514,-22.657184448176498,-15.055835016217856,-15.902959421339549,-19.111703903093314,-26.573880948332697,-13.37852930356334,-14.380781715652333,-16.211538387439553,-17.661611962052344
34.174553101997894,-7.731879660405075,-12.568749529760215,-14.248112475272002,-26.582817007512247,-24.327893801742892,-13.472103441170837,-21.47298923399896,-21.125533760449844,-11.375496249111169,-11.046968824488744,-12.819645073547214,-14.243239104997954,-18.223520756478873,-19.718022102550805,-11.388309339645701,-17.404427223357047,-21.014275222983873,-33.56489763720278,-15.376056790353047,-14.29986857834956,-15.825404859413474,-20.36330114993213
34.207413249211356,-10.481495001457509,-18.27194591029976,-17.6284544569956,-24.23926974283888,-18.592050524138493,-16.124496092020674,-20.231196866947343,-28.66822476257962,-9.53555639968581,-15.029466438803233,-14.525802171756979,-15.41279755413613,-14.937186450571332,-13.991145765517153,-13.77630565052776,-16.495334930791422,-18.024336177967715,-22.466076201089706,-13.934165817059025,-13.006882533356887,-15.02324924175008,-18.00779320930681
34.24027339642481,-7.454777175718557,-13.415951022316712,-11.199594412563556,-25.327566104978047,-12.669125349717262,-13.066552137006177,-24.653985568762522,-22.28610064519939,-9.729427206836114,-12.64802983790846,-15.357527004332972,-12.182166880822937,-16.92184451733025,-17.863594524421693,-10.185715052202774,-11.947844481118508,-18.436509827541933,-23.61383411626569,-13.068884764930488,-15.730793872544975,-19.493538808094918,-26.18586539455347
34.273133543638274,-8.165328708887477,-14.622735378914626,-13.53546901755734,-27.497095110501046,-15.53730272339427,-16.349587849546175,-19.36509712874232,-23.009572685520503,-11.132645732015256,-12.171972895429096,-15.049894999599026,-12.048870184672381,-17.746325741775557,-16.31861157658511,-11.23673018025994,-14.362684713763972,-18.68251883935531,-26.900914501524255,-16.917812395947173,-16.124792258255578,-15.20024094660048,-18.81176621024251
34.30599369085173,-6.45704627222528,-10.779356555140112,-11.584471797728146,-34.072748485618874,-15.031373682414504,-11.91013652480315,-26.162090195419545,-25.989896801017466,-11.393049817677557,-10.048401210813836,-16.360246640218737,-15.898300152777352,-18.335385646284845,-15.291656303441528,-8.264370700246666,-11.067145948529046,-21.707344203215918,-24.844654302645214,-11.922494103177172,-13.178787221086395,-17.976438745309054,-20.77514138173676
34.33885383806519,-8.536585982382098,-14.65307818949471,-13.858720970243606,-30.328722905800742,-13.68804936856204,-14.979543946166004,-23.615501837233676,-21.53388665330046,-11.54001081513709,-15.570856881521163,-11.5276423038461,-12.361797545334596,-15.685877061932278,-22.63968390638773,-12.001135003007441,-14.682087392415205,-19.24864799648507,-25.58159656099534,-11.012579181660932,-12.2491932521433,-14.477738229709676,-21.853534029084486
34.37171398527865,-6.473060445700933,-10.550990182910319,-10.763961950606827,-22.699253676604005,-13.964596710247449,-14.034884522252195,-19.298935452561942,-25.849668236509014,-10.537010171660125,-10.937340167125441,-12.733217230147293,-13.728204503202836,-17.14260020942232,-18.709944186611914,-8.697774132212743,-11.92113022013082,-16.37406522524309,-24.13114462551533,-13.783458920393969,-19.695224265598064,-16.204932897035505,-19.136598655894677
34.40457413249211,-7.345352050447478,-12.17149913046699,-17.26802826367978,-23.111205668511694,-30.23701831584538,-13.015962969115172,-20.490643563675363,-24.120556693361316,-7.732437389826146,-11.687656548252225,-16.38151419468499,-14.897241162064308,-15.598267318933562,-17.435930183279815,-10.557224258075202,-15.081977880740862,-24.109538218042225,-24.599006893166447,-13.396973057468458,-13.230474624838969,-14.79811709109996,-18.911725747335954
34.43743427970557,-8.00252376942015,-16.355630679148877,-15.00784041137518,-22.55073824805131,-15.629149974708099,-15.452692454808847,-25.167865153959365,-24.84709881189918,-7.889840529481347,-13.694421416497057,-14.636878151848535,-13.598746662664468,-14.969754668995304,-17.50546929850458,-10.973226253814694,-13.436566599735045,-20.347430330996083,-22.83708643719992,-13.186507127822473,-12.754525531743518,-15.530068583287328,-21.13329751731159
34.47029442691903,-8.393476693538148,-13.566397876242966,-14.556575890100397,-24.9613775305281,-15.070498406663475,-13.494551849830316,-22.64752675521509,-22.529699893901466,-12.26724480365787,-10.46115895958576,-13.227123652905128,-12.451447890979875,-14.129577020117765,-15.957040717047583,-12.884772028257686,-18.63061048141783,-18.32666234639203,-31.88702223800942,-17.201532023371385,-15.803312500447685,-15.216737583970623,-20.595013154106816
34.50315457413249,-8.791782764643457,-11.417511607513116,-11.418118138260649,-29.145777304213553,-15.37184878909207,-15.158973631371424,-20.13915771948672,-23.730933107996478,-8.578343891659287,-9.872276737416783,-17.484945150034363,-15.034873635190824,-14.656078155782204,-13.62419669336132,-12.035759696600067,-14.11382943714769,-20.804999228754532,-27.6780999974143,-17.206861864272717,-16.58070277113797,-14.707671740554925,-19.04725190214697
34.53601472134595,-8.494905580696468,-13.240673843909441,-12.10788553914054,-25.75667852168121,-15.049330686817356,-12.551676412695976,-22.62185983785898,-28.12525405277136,-13.302410928622194,-10.23042942622996,-13.966142904395689,-14.150598054026524,-13.257837599995511,-15.31873768679116,-11.516495606697525,-11.243203243203624,-18.94200279125845,-26.742835858723282,-10.869285715030422,-12.653958449559155,-13.760588772765338,-20.87061707434667
34.568874868559405,-11.336852402026452,-11.972660748297574,-12.011930565185189,-25.394927020624344,-13.14261671898894,-13.296189914106868,-27.91565905946062,-26.037297748839315,-8.774281284457487,-13.720366115919777,-17.131572310052963,-14.235231194525404,-13.604728938513631,-21.29561820969688,-17.603152305727924,-16.630305610624728,-22.137432202825952,-26.21290774136186,-13.550300158151543,-17.3909093212266,-14.74024300477656,-20.616025285323428
