frequency_hz,FP1-F7,F7-T3,T3-T5,T5-O1,FP2-F8,F8-T4,T4-T6,T6-O2,A1-T3,T3-C3,C3-CZ,CZ-C4,C4-T4,T4-A2,FP1-F3,F3-C3,C3-P3,P3-O1,FP2-F4,F4-C4,C4-P4,P4-O2
46.55425219941349,-27.074495497274242,-28.42639076935992,-25.684015236245394,-38.03927497861739,-24.597250438406036,-25.585374788542886,-36.432695751950526,-40.47271758122107,-23.63300814050391,-28.92767115469701,-29.25110572854245,-23.2638096155856,-29.251120804199267,-36.61838772910346,-15.688100050028119,-28.163640049630587,-34.43801329272891,-49.37914103310655,-23.679020391047224,-28.73965603044602,-28.699550296365437,-40.5237812454225
46.67644183773216,-27.91100808540085,-27.492742995578904,-26.89454872639776,-40.45509484561005,-26.757189340570633,-23.496638139057588,-37.295914245051705,-41.573504674574096,-26.18319215279118,-26.01687947314997,-28.457604825795947,-25.171130904072506,-26.708852953957113,-31.323354402008306,-16.928302436270158,-31.26772499593822,-36.65228865344294,-51.42113993728596,-25.067321325573218,-26.735289037203252,-30.830465905315158,-40.598642685446535
46.79863147605083,-31.272981678675496,-29.02156917243083,-24.811894448944017,-39.08990542455499,-25.692719591000486,-19.353259762065708,-36.945305837579525,-40.364082202695464,-26.904312927510993,-27.778663541029225,-43.84352449480813,-24.11486340744245,-25.373576732708294,-28.904294046004146,-20.73621945332065,-32.00255458259522,-33.86648726328698,-42.64542722917555,-25.760638469688537,-24.622037857652117,-34.12203683200018,-43.49988038111548
46.9208211143695,-26.475316834351677,-30.940153097722675,-27.682782692299696,-38.49942946982358,-25.69489021777249,-19.233296841752193,-34.66720158502271,-39.24461045395071,-30.471547784881388,-28.336352675303903,-27.704335049553713,-35.35474448289324,-24.88235303229758,-34.434869135233136,-12.97590719020678,-24.492367846643866,-40.670105985513175,-43.151845191700204,-20.006530162780876,-21.333084929169175,-33.83952797009319,-42.64505115926515
47.043010752688176,-27.9096108881449,-34.52928471452081,-25.124570821321083,-40.19918366599631,-23.45136171478927,-20.25464505319256,-34.96270957360092,-35.572402689880505,-24.941155534303174,-26.82701328806046,-30.269309286766248,-35.68334879369083,-23.30831014626381,-33.618775853276325,-14.298703118798784,-24.419352280331246,-43.580546999185316,-39.435252766898444,-19.786302083485282,-24.104443188111162,-30.604546950705107,-40.58041189095267
47.16520039100684,-28.686903913736227,-37.634263394699126,-32.23117163795411,-41.463681788503585,-25.051775126427923,-18.82658956170201,-37.88716182034385,-37.434609201404704,-27.241179357578716,-27.50310870893506,-28.069036397071628,-28.865704317215744,-25.436078762240783,-32.23648083248503,-14.397833584613025,-23.670760827132163,-39.64780375523127,-40.139301371073586,-22.920724358466888,-26.571210008515223,-30.27295074228918,-40.201960210156045
47.287390029325515,-27.53586601825323,-28.623192557537045,-22.560604649463787,-41.25648036766552,-23.366245609501156,-18.05743062441429,-39.8802062159928,-39.46955566887604,-25.01912978217176,-23.46721363599483,-30.72155537297467,-21.092187683147756,-26.535937654595347,-31.417568835873922,-13.502018795434527,-24.205346790951538,-35.77940981565342,-36.47641072511432,-23.4180106542438,-22.576274839418772,-31.17410680855116,-45.24286120538807
47.40957966764419,-31.096289618227527,-24.40822479447428,-21.665031395730765,-36.64785572899963,-25.084608148018155,-19.12716874709556,-39.397773197820534,-35.31329179812763,-24.63828047565915,-17.564931602831898,-32.61729628597744,-22.427046041757784,-28.529224136122608,-37.24863510288226,-18.790459016540684,-25.241442116266278,-31.23211682833554,-39.89905801209579,-22.558135722801534,-24.964329074223656,-29.7831890528151,-41.907219862982416
47.531769305962854,-26.765684760970625,-27.532947242590716,-20.508752994387,-38.495873755702355,-29.122398742741364,-22.9288924922205,-38.08826042316635,-36.5747197340576,-24.061657454994158,-18.234435536538896,-28.670187940211015,-28.85730465448895,-25.05935142039837,-48.60121196010947,-14.503953093668493,-29.73149988630067,-31.69447977121818,-45.25828822836163,-24.41860604138553,-31.408511953824444,-29.86566371224785,-46.779740308425346
47.65395894428153,-29.651105887717875,-33.38350023147515,-28.718458037384444,-40.49793439676706,-33.41271433093764,-23.051818694169746,-40.47587262326847,-34.87243886405652,-23.012350435477188,-31.890920085050126,-29.65922454092838,-29.32707026291863,-25.774402010838593,-39.82436382690135,-19.815435764495888,-31.214078102139403,-34.304412358345644,-52.48213589262633,-27.07121017461977,-31.295478331406663,-33.77567631308231,-46.47834016151622
47.77614858260019,-28.746653512044464,-23.918092790641765,-25.15305472561928,-41.57436882126682,-30.409285477909783,-20.93141067185963,-35.181645865726196,-32.8196182178531,-22.876195880096365,-28.548900963496465,-24.4129113332065,-24.676299116790634,-23.028048202302845,-30.537821706014633,-19.678892652092216,-32.22869763776142,-29.735702951002306,-40.04221730066307,-22.452653086711457,-27.841574068085848,-27.906895057233996,-37.031864858758006
47.898338220918866,-30.331971478152337,-22.803814845082208,-25.41232340342242,-36.57172600695593,-28.226778716460096,-19.299370174168658,-36.73813546838035,-35.97097498017734,-22.691655126068465,-21.89150054936109,-25.880867531591115,-24.304404061057355,-24.994564433704028,-27.626960342985672,-19.408330730425313,-30.962836816291627,-33.1149454048175,-41.44020152315015,-26.351943226466243,-25.275933121180266,-29.489010940809507,-36.438482348793656
48.02052785923754,-29.817145124545792,-28.009320436857337,-23.80865257035328,-37.68317238857246,-30.951870338856835,-18.418747322670757,-34.10812270194762,-30.337384524860973,-25.40803685072283,-19.844209331669582,-23.622503236383736,-22.549497503871137,-28.57127271802318,-25.98974758611794,-14.860717091570045,-26.19500523136332,-29.10986797301709,-34.82666148277567,-30.95489954238054,-24.84297461639314,-31.164436929281806,-34.83555024780548
48.142717497556205,-29.408864470328655,-27.94165336491344,-24.72639183438023,-42.48108703500758,-30.66558514671918,-21.376763270803096,-36.61089113914836,-34.75329294378382,-23.456115295390997,-28.18859617184207,-25.10411917362488,-26.217313244666137,-33.5603020821387,-25.994765848037627,-12.858699897091796,-27.01550862805062,-29.384322982790675,-35.5698585503616,-30.737047851865164,-27.387491805623775,-36.75931996671822,-40.38118836024158
