frequency_hz,F7-T3,T3-T5,T5-O1,F8-T4,T4-T6,T6-O2,A1-T3,T3-C3,C3-CZ,CZ-C4,C4-T4,T4-A2,P4-O2,FP1-F7,FP2-F8,FP1-F3,FP2-F4,F4-C4,C4-P4,F3-C3,C3-P3,P3-O1
17.961876832844574,-41.99494502908563,-39.018259645790955,-43.70614255581571,-42.82668126299752,-42.42533738257396,-47.959798952110866,-40.862501020360824,-38.36332499383115,-41.34498357817399,-41.09116670323285,-41.23035318858381,-43.48104957569772,-47.384138716451865,-42.40517188166903,-46.2421797200643,-45.1101910422503,-45.12049206683135,-43.71567829507283,-43.73739675301837,-42.40331817887753,-43.5846418844451,-46.861610086274
18.084066471163247,-41.92578460338554,-39.09441618102101,-43.802775572238914,-42.64426756966516,-42.81432649907342,-47.893466975067696,-41.10394036536701,-38.279826836465034,-41.44807696434672,-41.09732361915298,-41.18873605233763,-43.69300046018957,-47.324126801138156,-42.265399600818036,-46.19751410193174,-44.99329955897106,-44.75681842330555,-43.707807141943846,-43.62520482053982,-42.62437557925049,-43.62661563863215,-46.8842670870336
18.206256109481917,-42.01687372305348,-39.02464405524176,-43.59821030482712,-42.5774146989725,-43.09937844426973,-48.026222364866925,-41.467470323639574,-38.33279781481828,-41.467984583986805,-40.8189896772778,-41.06788964228562,-43.73473584237239,-47.558132724248615,-42.6636883252729,-46.065889755340606,-45.06171660993745,-45.01207351478511,-43.87672789632508,-43.49856458419839,-42.84857276112998,-43.400592376418864,-47.152738966026725
18.328445747800586,-41.61217995289679,-39.16680913853389,-43.60623859899272,-42.28569700081178,-43.02167925594049,-48.05670346044842,-41.203463026153564,-38.123770308193805,-41.12526946277471,-41.14601383242868,-41.21664049725723,-43.59932047425879,-47.55378009330212,-42.75011613939083,-46.29160060808151,-44.84919226359886,-45.21067577689323,-43.6038232667529,-43.83548572990018,-42.802474002632465,-43.283513001684696,-46.924310575802714
18.450635386119256,-42.028217393763995,-39.33926878420769,-43.693796481167304,-42.27225286426411,-42.65397698205193,-48.48387277770972,-41.207993287151055,-38.63207854036334,-40.87465363586987,-41.49041546411911,-40.93628486383,-43.34172145999719,-47.7277365738917,-42.986866754822366,-46.290565326970686,-45.140190709567754,-44.71513233766817,-43.9278967116164,-44.08987686465252,-42.76564763692433,-43.49932775151274,-46.93711311561088
18.57282502443793,-42.25890844068962,-39.43838207957074,-43.85485778209925,-42.4383739703842,-42.719305386632804,-48.15533279732747,-41.29833297800002,-38.602117476066944,-41.10128059726019,-41.83554933364199,-41.27601652998027,-43.24233572731883,-47.97641524809106,-42.71555286366904,-46.12549902146359,-45.32491267789923,-44.88561261099351,-43.94606092781404,-44.08915834826734,-42.929439632577065,-43.88064255741147,-46.924376734747995
18.6950146627566,-42.2161636081417,-39.46618284057309,-43.79586270828209,-42.44905047199626,-42.87293983619637,-47.85682833920413,-41.45483114038701,-38.398258639090706,-41.333274549830044,-42.09189183571556,-41.32707272204214,-43.564113353714575,-47.91840574911768,-42.8706642770982,-46.499634399260856,-45.00107927286188,-45.067220813442475,-43.971281292763976,-44.26920861373963,-42.91666827327933,-43.88291249332735,-47.1777967375133
18.817204301075268,-42.09175405635163,-39.34653355250232,-43.55566076062028,-42.872326785439654,-43.06766719459129,-47.90881161685523,-41.61081125884828,-38.20019289088978,-41.62584630459613,-41.7455861789816,-41.44281579477429,-43.43763392129654,-47.61943646410195,-42.80568749309467,-46.755813657462625,-45.43817156973374,-45.439631868942,-43.69975485482459,-44.15435069447629,-43.15452318057773,-43.92225234727402,-47.0312713549588
18.93939393939394,-42.4099963058079,-39.30901516191942,-43.90258938320273,-42.72034875392881,-42.93325692802661,-48.28037165329574,-41.64369157676848,-38.30115824399825,-42.337916526179015,-41.55934534335058,-41.1865183324473,-43.74258847202081,-47.639174191850515,-42.507350678971825,-46.80126894219575,-45.57208414301901,-45.48096650362782,-44.004587132854965,-43.82150155970796,-43.14414275040533,-44.04612073805606,-47.03242991443657
19.06158357771261,-41.76073080251599,-39.41865965344027,-44.072772362599245,-42.93053095035663,-42.83165211192505,-48.390973107252606,-41.18992508681061,-38.33612259406051,-42.83649567857128,-41.37406909371809,-41.36886364785284,-43.72890972802046,-47.60763157105485,-42.928875992900934,-46.53258920263654,-45.51136306714067,-45.265863307549445,-43.753700711305086,-43.56210993156348,-42.59836143271441,-43.57136938721267,-47.123513974120925
19.18377321603128,-41.94393813827114,-38.65575067297612,-44.26230786394981,-43.344740390667006,-42.79957464271964,-48.25500972325842,-41.46780612207486,-38.345332386791114,-42.41697546957451,-41.4917676641164,-41.54698976023259,-43.51743471997317,-47.83892962795869,-43.10441188193098,-46.797444280093146,-45.305553599586275,-45.43445292570703,-43.92059947978925,-44.030452646276366,-43.06681402022259,-44.0522574093845,-47.15048026361075
19.30596285434995,-42.040398864087734,-38.63575638817532,-44.39211903596316,-43.492628935385845,-43.05633523484561,-48.15592155478726,-41.36500787408691,-38.55265004390323,-42.065707921857054,-41.60400672327021,-41.42792279232886,-43.46083839673347,-47.86918995368347,-43.17536834952451,-46.58176977960124,-45.17661071275523,-44.96292811361615,-43.90774957072026,-44.25510891738725,-43.46311401858955,-44.21013606250253,-47.18495703726484
19.428152492668623,-42.138097086238396,-38.9656061631917,-44.140178084121295,-43.11495904225698,-43.3608238769632,-48.36399004121804,-41.36899329186642,-38.20177575819524,-42.30148650081168,-41.644661263611525,-41.39363847509581,-43.609023672951814,-48.171695444644044,-43.01492396737084,-46.792430688625515,-45.12314081605931,-45.08329998685858,-44.03756078282524,-44.58453806868623,-43.131220386656864,-44.3021270253246,-47.089163268571305
19.550342130987293,-41.806610022855835,-39.11940273493448,-44.0280857823657,-43.18881103508553,-43.350467509699364,-48.12792376411401,-41.39360755076539,-38.276663045738935,-42.15254919117375,-41.53654025672203,-41.22457660683174,-43.14048370465373,-48.011978091467086,-43.200877406317346,-46.506494673702775,-45.53987384701806,-45.1542348281972,-44.324959170980854,-44.61249044338732,-42.85990365047182,-44.27958754874532,-46.9080766985317
