frequency_hz,T6-O2
0.0,0.0
0.12218963831867058,-2.3635992516845
0.24437927663734116,-4.727198503369
0.36656891495601174,-6.729802423097673
0.4887585532746823,-8.67355795537856
0.6109481915933529,-9.569859717016705
0.7331378299120235,-10.058141695904483
0.855327468230694,-10.439495235536315
0.9775171065493646,-10.743258102639464
1.099706744868035,-11.324074628193321
1.2218963831867058,-12.258464394055698
1.3440860215053765,-13.16996827656057
1.466275659824047,-14.027858376374779
1.5884652981427174,-14.7769736160797
1.710654936461388,-14.950727095732868
1.8328445747800588,-15.133739934881643
1.9550342130987293,-15.79926828552372
2.0772238514173997,-16.464796636165797
2.19941348973607,-17.878151186465782
2.321603128054741,-19.394776973861386
2.4437927663734116,-19.779954571678047
2.565982404692082,-19.76447771142852
2.688172043010753,-19.894012975137684
2.8103616813294234,-20.120899035350593
2.932551319648094,-20.545798183291264
3.0547409579667644,-21.204877192973907
3.176930596285435,-22.00527206173356
3.2991202346041058,-23.108752259829437
3.421309872922776,-23.982206161302535
3.5434995112414467,-23.792126714860945
3.6656891495601176,-23.594335018925737
3.787878787878788,-23.199452502598135
3.9100684261974585,-22.804569986270533
4.032258064516129,-23.114775204629296
4.1544477028347995,-23.5055149194907
4.27663734115347,-23.419734632502422
4.39882697947214,-23.18125732834684
4.521016617790812,-23.45459277779649
4.643206256109482,-24.045425630330044
4.765395894428153,-24.80237118544903
4.887585532746823,-25.74145786182397
5.009775171065494,-26.06611112876797
5.131964809384164,-25.180979359751674
5.254154447702835,-24.890419023628485
5.376344086021506,-27.028746243153762
5.498533724340176,-28.985551073295046
5.620723362658847,-27.91025969557845
5.742913000977517,-26.83496831786185
5.865102639296188,-26.48044318686007
5.987292277614858,-26.191741457384754
6.109481915933529,-28.372494478606665
6.231671554252199,-31.26546221229379
6.35386119257087,-30.954867862247752
6.476050830889541,-28.81065574059131
6.5982404692082115,-27.157433603089398
6.720430107526882,-26.003488200529414
6.842619745845552,-25.48320120872816
6.964809384164223,-26.11095416112505
7.086999022482893,-26.69366403665404
7.209188660801564,-27.112382127469793
7.331378299120235,-27.402377991065624
7.453567937438906,-26.111950953794846
7.575757575757576,-24.821523916524065
7.697947214076247,-24.52531806246273
7.820136852394917,-24.298062670771614
7.9423264907135875,-23.64419658370952
8.064516129032258,-22.8803098436307
8.18670576735093,-22.737752604838313
8.308895405669599,-22.922733282059525
8.43108504398827,-24.227620143116397
8.55327468230694,-26.588678689741855
8.675464320625611,-29.045657647817485
8.79765395894428,-31.662861203790335
8.919843597262952,-33.201105410474014
