frequency_hz,T6-O2
0.0,10000.0
0.12218963831867058,7937.389243128132
0.24437927663734116,5874.778486256264
0.36656891495601174,4731.663349339748
0.4887585532746823,3738.441658985296
0.6109481915933529,3328.1205195455623
0.7331378299120235,3144.8594784272577
0.855327468230694,3007.894938645868
0.9775171065493646,2904.524611025921
1.099706744868035,2726.3992277742914
1.2218963831867058,2452.87215447842
1.3440860215053765,2200.9506613737763
1.466275659824047,1999.6436393464876
1.5884652981427174,1824.644913104322
1.710654936461388,1788.8032250939916
1.8328445747800588,1751.3030065847868
1.9550342130987293,1627.3749209675652
2.0772238514173997,1503.446835350344
2.19941348973607,1297.8695374256617
2.321603128054741,1081.0168720870918
2.4437927663734116,1025.6589766220927
2.565982404692082,1027.4876143984418
2.688172043010753,1012.5929645586735
2.8103616813294234,986.47149226333
2.932551319648094,941.1173287490514
3.0547409579667644,873.0176537018772
3.176930596285435,797.3353991080946
3.2991202346041058,705.3905068025075
3.421309872922776,632.3047667296976
3.5434995112414467,646.4148716860786
3.6656891495601176,661.1803233171802
3.787878787878788,692.6935233022485
3.9100684261974585,724.2067232873168
4.032258064516129,699.4370526570417
4.1544477028347995,668.2388023993732
4.27663734115347,674.8164425646479
4.39882697947214,693.499064191418
4.521016617790812,673.2788942762627
4.643206256109482,628.9258062181505
4.765395894428153,577.8417170820318
4.887585532746823,519.377144307748
5.009775171065494,499.0377043974299
5.131964809384164,553.7645198776528
5.254154447702835,575.2351669125696
5.376344086021506,460.85082795814975
5.498533724340176,355.7532896613734
5.620723362658847,405.77971790520473
5.742913000977517,455.80614614903607
5.865102639296188,474.5125818699237
5.987292277614858,490.3587443010451
6.109481915933529,402.60196427624874
6.231671554252199,284.96509033559556
6.35386119257087,292.2314715038715
6.476050830889541,370.9885315831782
6.5982404692082115,441.987291211171
6.720430107526882,505.09680860808174
6.842619745845552,532.7644973975516
6.964809384164223,496.2199320041299
7.086999022482893,462.93543023959336
7.209188660801564,441.5200921724544
7.331378299120235,427.2726572292752
7.453567937438906,501.0311439747016
7.575757575757576,574.789630720128
7.697947214076247,594.1580360429759
7.820136852394917,609.7544222962497
7.9423264907135875,660.1049549830615
8.064516129032258,719.4183991185225
8.18670576735093,729.8062724409841
8.308895405669599,714.402710670332
8.43108504398827,631.9449416189428
8.55327468230694,486.2490583840947
8.675464320625611,362.25520715541893
8.79765395894428,274.51223620521074
8.919843597262952,221.67165116394767
9.042033235581624,282.88707721798284
9.164222873900293,340.47639999234184
9.286412512218964,363.17455120893135
9.408602150537634,385.87270242552074
9.530791788856305,312.8615064366918
9.652981427174975,235.23275422304147
9.775171065493646,169.8835809382805
9.897360703812318,107.34387429791822
10.019550342130987,90.96352473628887
10.141739980449659,96.94609351094016
10.263929618768328,105.5860500242511
10.386119257087,116.5499181678408
10.50830889540567,110.1164445675933
10.63049853372434,76.84664593695855
10.752688172043012,56.68658831556396
10.874877810361681,75.20568391977663
10.997067448680353,94.94860798742441
11.119257086999022,124.30085184204283
11.241446725317694,153.65309569666124
11.363636363636363,215.27628562324816
11.485826001955035,277.8016740421695
11.608015640273704,294.05682133784217
11.730205278592376,301.0114176539681
11.852394916911047,259.31800534128166
11.974584555229717,196.01958617531642
12.096774193548388,200.04721869439228
12.218963831867057,258.649756746037
12.341153470185729,295.0026312482961
12.463343108504398,299.6186760176757
12.58553274682307,299.55879732164016
12.70772238514174,286.98183119510946
12.82991202346041,270.6571376307535
12.952101661779082,229.64503316644164
13.074291300097752,188.63292870212982
13.196480938416423,194.34921548423117
13.318670576735093,200.4598346819136
13.440860215053764,188.98558144363324
13.563049853372434,174.44369689588555
13.685239491691105,151.83317542987152
13.807429130009776,125.94773662644364
13.929618768328446,102.27276297679995
14.051808406647117,80.25766242798309
14.173998044965787,70.88986375099486
14.296187683284458,78.2214151183623
14.418377321603128,81.56005089866535
14.540566959921799,75.16056880835816
14.66275659824047,65.12986520766844
