frequency_hz,FP1-F7,F7-T3,T3-T5,T5-O1,FP2-F8,F8-T4,T4-T6,T6-O2,A1-T3,T3-C3,T4-A2,FP1-F3,F3-C3,P3-O1,FP2-F4,F4-C4,P4-O2,C3-CZ,CZ-C4,C4-T4,C3-P3,C4-P4
40.811339198435974,185.53898249216314,363.3227677877227,647.2487800538703,391.2383766513822,186.8879410572373,483.9938201035302,524.541351895408,351.03537829296346,551.9972434500991,683.2935328397393,638.4078242805442,277.85512276667697,341.28646954426466,292.5691457725072,249.92552965869567,360.5504358803792,330.6388285239098,620.6571608461285,499.98351947778764,593.062776235649,444.0024439910845,443.90728006346586
40.93352883675465,192.36886745444716,384.2139012047181,629.037852999607,380.1778101798853,196.6018501281865,485.3175831569733,518.1140262669461,313.01600279638825,551.1782774037871,706.7469406442822,589.2591247778805,283.55277446016,326.3213467774346,306.56908528428625,252.61320947884687,395.7624935169243,325.3976384598655,649.0895530541609,491.88539704770886,622.7123600769054,474.41292231982004,455.14188994427997
41.05571847507331,198.94354686079078,373.85842763315685,642.6034858781455,367.4646793358723,198.92467774817857,482.56667605388117,505.0676209586995,319.65881554127157,562.6517788964618,717.9267325365859,565.6175162735439,275.8944411185291,322.5761944327992,303.60608218322056,248.30777337407474,389.7919825366575,333.2073535592749,646.7168494723965,524.2226664285806,638.3794202436436,486.13025171675105,465.36972812807005
41.177908113391986,210.03832900658375,379.7822652882966,656.0876035889095,341.4305818440342,203.58159759445653,485.6057348515203,478.86355702414926,323.33788046137335,524.5961914670191,741.8576431012533,603.5671519284288,284.7248920500983,317.0994952132617,292.1368802275904,254.88852839842951,376.4740763798255,350.8822281259547,681.9162139273748,568.3291604613598,623.8694350656406,497.07197130027623,483.332818034649
41.30009775171066,207.93512300301865,380.72902875091773,658.7133781453709,356.1960114626886,199.85001239976975,467.5052675239663,469.9368477301103,317.61467748924116,496.7799309511355,708.0934139546564,601.9441925248459,279.6467794280461,315.62221588543514,283.48816551771523,259.1448392947153,380.31757461490827,335.21984156859315,678.6557265071376,524.977927073028,605.3567535647095,483.2451202823238,463.24934600181444
41.422287390029325,209.3678481407757,374.28961147068145,672.5444462215803,366.99565965367805,197.98978275095587,458.1207678937717,455.8698516334629,309.44420216693567,510.4318373686024,716.7579863456696,551.4218882913923,293.5325157693293,337.3970197548893,266.6871189383781,268.2748397093001,354.22401189693244,322.09331333501495,626.7267066789166,473.1550783397113,598.8941436238342,466.67235939936944,442.326646029174
41.544477028348,203.93517323990196,359.968155398224,664.3564296352874,372.4499628666127,196.39019110159143,459.1085323887821,475.31813358055814,328.2894796289115,503.70820396362404,681.2772364329768,563.9905586613701,286.03608076624073,332.3635793471939,248.78551008568567,265.8880843482405,358.5874714631566,335.5581959125501,583.550777065079,477.88851455079725,612.3359090218153,427.57418862522735,441.744989650791
41.666666666666664,196.5643369514001,351.6976363882404,634.7795349400163,330.39230236335953,196.49420721327,473.4936054027343,509.04787788947937,361.2786776671149,472.1467558915676,603.7283700562201,616.3566292069839,286.9588455667677,320.773568564544,230.30361525899846,261.09215100337065,381.0483939456321,334.11856320425323,519.9747422285659,509.9998767912628,658.3465006929536,385.43079241478983,474.50267737966186
41.78885630498534,185.6354775401384,347.32019639278747,667.8743900969829,317.6731740354323,195.29008862249066,486.93718178279903,510.1805510219638,385.5622001108276,484.8927116785063,599.0674313740795,649.4369854540229,286.1301647874709,316.86766029553456,233.16164373706573,255.97300115051343,406.60626559269616,332.88407174934116,491.6935448262187,567.0271715436439,614.2452536689074,393.6702290851847,496.0873367191226
41.91104594330401,190.0909574014297,360.72389917612253,676.2616774916237,343.61044158302747,191.82579761246802,493.8966406315479,504.9432249468232,416.1685415055753,508.8108323975851,602.7092312185674,639.3005950304366,282.3634422111969,318.09216625761144,249.02004201973492,261.1167028109149,414.3865417683688,335.30695002593836,527.9653435592029,581.1539735097396,588.5134668429549,421.82845002577477,492.2770381290964
42.03323558162268,188.06239213794544,385.6774374767228,647.7143805061107,342.9392797850835,191.37349442474618,476.7738243829563,444.77857365738595,379.41952799972734,479.01046838678127,630.6596961702464,554.2135296055436,270.4915313651169,327.2834439203537,261.32956715693155,268.5482328226201,398.6922240897649,336.0674403361226,602.1906010743351,557.5155494048486,584.8663619033885,438.67900822898827,507.64002674105313
42.15542521994135,193.2332820320317,371.37402022344924,665.1769108184244,327.9221993014048,188.09086821522172,474.22041232409117,478.1917333789345,381.8988868421236,477.3681503685297,686.4731967251586,576.7928334972305,273.4288276640333,329.3480024761583,262.9256461336978,263.1689486426594,398.9150730449702,345.1291692387601,642.9954288489248,561.6034099271839,641.9341778746631,459.5389797728821,517.7825480351477
42.27761485826002,191.08122651664507,366.0273952013913,682.5763511362967,346.5401278048775,185.7457223437645,499.5502226891796,485.4732329438246,361.3181074438937,513.3838177805478,688.0577583598798,598.8162319425778,262.2433593571397,317.35551097729797,257.43994852615003,262.1291700929265,396.25363878563155,339.92045554357026,654.027241497782,604.4124479770165,676.8186511936638,456.5161789879997,524.4222765111138
42.39980449657869,193.1277410628402,396.6586233367288,673.4680252027748,368.24327942083283,184.81975494769173,507.7795733328339,461.81763753476815,363.7853730416643,509.62425123510894,692.7382434266228,617.0876413624179,262.2770135142586,306.5693836705814,259.38703462329437,256.109322477089,398.456031308872,326.24150397882335,657.9003033133125,588.0357319619088,640.1151548311921,446.8442470375255,509.88957402960347
42.52199413489736,191.52603509450785,398.8166640218402,639.7583858351371,355.2537085807006,186.10857071314328,517.5514247681399,479.02126109030627,372.2615290202072,507.4143053700913,625.143572878159,613.694499249502,263.3249551980982,310.0609907154693,263.8024765993744,256.882515219565,402.58827178029003,321.22758352018076,567.2261710135483,561.3418511954785,642.192761119997,399.1726622834772,487.5615029509258
42.644183773216035,193.16818111762248,386.3643221143883,695.6296130656764,341.5933506339612,181.48785930700555,507.9731361172718,482.3387529721555,385.16065387985367,514.10766556184,667.2441667759665,591.7746601744929,265.2631502208849,321.83607927533365,260.65028699761433,250.2866716406544,396.27831270959706,324.771554793584,600.7820904958247,566.5528396263609,596.2971620384127,409.4898372346213,484.1234627412991
