frequency_hz,FP1-F7,F7-T3,FP2-F8,F8-T4,FP1-F3,F3-C3,FP2-F4,F4-C4,T3-T5,T5-O1,T4-T6,T6-O2,A1-T3,T3-C3,C3-CZ,CZ-C4,C4-T4,T4-A2,C3-P3,P3-O1,C4-P4,P4-O2
43.25513196480939,115.63105871191021,243.8328375784574,88.70614847576674,200.1146066113281,136.19671182353636,195.31061873033295,148.9908070900813,259.54009868365387,289.010789644943,193.33098035532092,330.60791849677963,175.1829600158028,299.79321146403436,412.7671995513045,182.57949405089875,160.3573141314302,302.8287601447672,349.3811544507937,136.33335673221728,154.2106563878147,167.15560659458427,71.64111243989568
43.37732160312805,117.3966486582436,214.09467738761384,92.47032421708455,195.51533178905123,136.40510202356188,190.96604990157886,146.9965404781982,268.43274421988536,275.62788514485936,193.388462502929,336.32565578857464,187.17429933399845,295.4383801097351,403.33181504975875,158.03377797497112,158.29841266727402,293.2067293814236,343.83992583990977,114.03265894616091,153.9704996589675,171.6373098354685,65.8348766674338
43.499511241446726,111.42735932381544,251.63368098089407,97.93784410512372,201.84182647339048,145.96898583545078,217.08770470025624,139.99208988788496,287.5480401528572,273.2191087861475,195.5525121286123,320.8157723183548,169.11201281454132,337.1455095204021,402.0774361162311,194.76593702604382,119.94182742607292,273.67401252012496,332.2501249700496,137.35418223973093,144.44871907985186,162.6754974006382,64.06305157829817
43.6217008797654,105.44989160432822,255.0092066166509,103.8318363517778,228.44950557877536,147.63741459153928,245.31658321570012,120.171128486856,291.8255233477487,302.7576028183103,210.75460049198392,345.385078441362,178.11182531510744,344.5367560878905,407.42921439654,209.01399738595637,155.51396997063546,288.8639132837752,299.42523737740726,142.35866511312074,147.31043060260637,168.12104211808756,76.41458170458496
43.743890518084065,104.36246922022688,269.2075784317921,105.20728673383115,208.30031180045813,138.72593663747335,219.34461433064317,129.00581326900047,308.9983371042798,283.3935391410105,249.3636381020878,315.89545297689676,194.48023639773382,381.5667469009235,452.20946970050903,211.5621660790757,162.58817425228864,291.5370100611146,341.4505101137974,143.0049437928947,170.74044114651994,179.13704424564185,65.7432096618441
43.86608015640274,100.64535468044896,270.6751911040186,100.69020955398402,209.18165518191574,143.38207920123645,215.86214285216033,133.13609236476609,228.2182707818962,289.9558107289433,220.92858120474267,311.39357231167753,169.40119935028707,355.15279032707724,404.7447193007693,252.62532876624965,178.23359768704404,283.17939582750944,357.756560065722,163.92135565422276,145.85905572956835,176.28746163536823,68.08090348469236
43.98826979472141,102.25410353293523,277.30712892394155,96.80194748918815,191.66731859884908,148.40273964516473,220.59097506119247,123.10321174239492,246.09290044601326,320.073578318987,219.94603611733865,328.8678277154323,195.25804549302927,401.0378919468955,405.6859151353635,219.40193437583122,184.53014336229265,256.0782080807669,333.64451080076185,154.2554390271179,136.68149354861922,187.70764488923234,66.08971374603445
44.11045943304008,102.02303573823006,258.59718477842273,95.16074960751054,202.91606955594233,146.14480707115314,213.8834776712017,132.67933338403017,207.37129721277375,274.46464658436713,221.55720284516772,317.50738347330315,170.54750943522515,422.08819630111117,423.9825523975726,216.88739829808148,158.81262090366434,237.1242551106711,268.5649788211113,161.12749734272288,138.99586544951535,174.54225620723338,69.80229332497856
44.23264907135875,98.17189672666618,232.71011779191196,102.60720650275708,187.2923145459508,147.77295002734888,205.66097215762315,144.68993341560383,263.3070175191462,306.3334023203076,197.19162677240251,376.392932677785,168.57259597719235,371.60851501047534,463.0243077453497,244.90931794820773,161.07351417855003,274.57128628769084,279.42161138868994,157.5796860352398,147.51376934661369,188.05517980374375,69.54750429750317
44.35483870967742,104.85680057547164,255.53124626872244,96.47888261786885,180.5487415298966,134.17088672454483,217.78159047707658,156.43294174422957,277.00869816800736,258.02936937381,197.3010883392285,355.1356208261904,178.03511693799067,388.6057829599377,447.68332826595855,197.89797182434174,197.89513682015655,307.001433393992,303.67531951096214,126.11035994036554,145.83107533457135,220.3935367775348,78.24760202505517
44.47702834799609,105.15884208117244,207.65617648072947,102.69501569002833,180.086675368516,140.33591139495658,204.1305304591568,168.81192005216357,274.1349136273499,315.80757118818485,184.9676333492746,351.34397588885076,195.33292933712556,325.45405881122383,476.19595247033163,225.8111317534335,179.0882413472705,295.08666353722384,306.95728827909716,144.9824129458569,151.58769263546372,212.77594748195398,76.85226405571252
44.59921798631476,106.181309727488,244.26272315873717,104.90761235709377,197.75199748953108,145.3374389586884,211.92775752234382,159.27915477949168,259.86953650379195,359.20431680576786,189.3101674629569,285.6937280243484,146.54380034419287,364.9822488810936,483.5262198819574,237.53728749168326,164.23104242171877,259.2986181769902,304.58689480118534,169.9762559657456,182.6307800424318,190.5688163090669,71.93611694287097
44.72140762463343,105.74006677298291,250.5429736942687,102.4573074890868,227.015949205719,142.2692017189135,209.83002141525668,148.95350701376282,242.7965054603848,367.9600939689881,206.14545993267268,316.26016814439487,153.8495838168365,370.900160253194,502.84151404571054,265.23140791200007,161.98840155521984,249.33815481917244,349.2030572834045,173.36650385863544,185.16970668471419,151.8590878763387,67.76186778823856
44.8435972629521,106.68511884289815,248.47461660610253,94.6994946204439,212.36476275172257,148.5489688632569,206.3859185014171,149.82598208366102,243.7668869587734,316.3195101375789,213.6981931037154,329.0665359433645,172.1695485949989,350.50454980459887,414.84278675055856,215.51894447561264,131.70789796593834,232.12383001701022,361.83052670914714,157.096783220431,165.88285323800048,173.99701688204289,65.48394793201749
44.965786901270775,102.55800628805619,279.28439936556975,95.66653023958375,214.1828693818547,144.47915319010744,206.04705814409843,146.18870924850015,292.501441320406,345.7878875150913,240.58079165884917,324.07893927878314,142.67972517144088,361.3370579223706,421.57438335712976,236.30713367186146,158.52130674767324,272.76489479911794,345.54075544609833,152.69818978202034,149.8057030011101,160.01767297219135,56.40464406006223
45.08797653958944,104.47231433359835,254.82272155645472,98.73447349649636,193.0011870242615,139.15673339622757,216.1430087696949,142.6952292028692,287.51327163947695,307.39788337027505,230.51510748043825,336.39994364116467,146.90920374473902,332.57835450357715,368.28474773105256,203.62903001498498,171.44644423099538,275.4826903192151,355.5128461515744,153.56401989445598,135.34879651425481,217.17177226172598,71.03116664507876
