frequency_hz,T6-O2
0.0,0.0
0.2615062761506276,-5.058497980069546
0.5230125523012552,-9.21846013388408
0.7845188284518828,-10.263465289537208
1.0460251046025104,-10.913568664111523
1.307531380753138,-12.913319146281424
1.5690376569037656,-14.749347539816853
1.8305439330543933,-15.121209066354908
2.092050209205021,-16.545551122226968
2.3535564853556483,-19.79138413583722
2.615062761506276,-19.75826106463373
2.8765690376569037,-20.243835206051727
3.1380753138075312,-21.654374592882988
3.3995815899581587,-24.016006899686502
3.6610878661087867,-23.609205071841842
3.922594142259414,-22.764090397776698
4.184100418410042,-23.600338783348278
4.445606694560669,-23.089957439935816
4.707112970711297,-24.354438628517045
4.968619246861924,-26.364241285277643
5.230125523012552,-24.469911160374565
5.49163179916318,-29.04628928919118
5.7531380753138075,-26.744985775793523
6.014644351464435,-26.12711575643526
6.2761506276150625,-32.31855088522591
6.53765690376569,-27.729578080927723
6.7991631799163175,-25.25994179051169
7.060669456066945,-26.60343817189667
7.322175732217573,-27.49956496458394
7.583682008368201,-24.737835133772208
7.845188284518828,-24.25147056117804
8.106694560669455,-22.61662509025622
8.368200836820083,-23.012514698618773
8.629707112970712,-28.065575144639382
8.891213389121338,-33.66682878012101
9.152719665271967,-29.412944787720576
9.414225941422593,-28.247635072181367
9.675732217573222,-33.12085006458815
9.937238493723848,-41.21626408390888
10.198744769874477,-40.02286313542527
10.460251046025103,-38.18767040826919
10.721757322175732,-45.680150260925906
10.98326359832636,-40.758993732141874
11.244769874476987,-36.22416422529547
11.506276150627615,-30.804126314351464
11.767782426778242,-30.366843555615844
12.02928870292887,-35.51032479118885
12.290794979079497,-30.659677622663366
12.552301255230125,-30.371740523842995
12.813807531380753,-31.179851709500795
13.07531380753138,-34.50346729223507
13.336820083682008,-33.92021334201952
13.598326359832635,-35.3784916520422
13.859832635983263,-38.79766430729643
14.12133891213389,-43.38434755636244
14.382845188284518,-41.574493400911265
14.644351464435147,-43.13222637171798
14.905857740585773,-67.06123233836996
15.167364016736402,-40.6001039876853
15.428870292887028,-45.88688132510265
15.690376569037657,-34.82317687356406
15.951882845188283,-34.743365999024746
16.21338912133891,-36.52408528717264
16.47489539748954,-31.101638728528812
16.736401673640167,-30.289741747830973
16.997907949790793,-28.097377415092353
17.259414225941423,-29.18324475493695
17.52092050209205,-28.716332029148077
17.782426778242677,-29.64704644897249
18.043933054393303,-32.11987661608261
18.305439330543933,-36.58602065320896
18.56694560669456,-41.00395320773756
18.828451882845187,-35.04654626668636
19.089958158995817,-30.21476909363946
19.351464435146443,-29.830612022426976
19.61297071129707,-28.10853912265071
19.874476987447697,-38.68063078776984
20.135983263598327,-35.652967106557576
20.397489539748953,-33.89102866653924
20.65899581589958,-34.49968208218173
20.920502092050206,-32.43551699763798
21.182008368200837,-36.354537549942854
21.443514644351463,-46.87113558287089
21.70502092050209,-31.722212254795963
21.96652719665272,-38.70321385762797
22.228033472803347,-55.70758546590746
22.489539748953973,-40.328400432971684
22.7510460251046,-53.117849211857425
23.01255230125523,-31.15908236208933
23.274058577405857,-32.97418270090325
23.535564853556483,-31.333919925437975
23.797071129707113,-31.613821404840273
24.05857740585774,-38.90596435184405
24.320083682008367,-32.64166844657343
24.581589958158993,-29.557331120405166
24.843096234309623,-30.33512567861974
25.10460251046025,-29.935050152357242
25.366108786610877,-28.059590803133403
25.627615062761507,-28.86339442982954
25.889121338912133,-29.62731930075178
26.15062761506276,-27.713736134024174
26.412133891213387,-29.324066308214086
26.673640167364017,-35.81959297167906
26.935146443514643,-34.20158183269625
27.19665271966527,-34.86381211423257
27.4581589958159,-46.18254516106009
27.719665271966527,-40.00968900664875
27.981171548117153,-38.855249173509726
28.24267782426778,-37.24894627173755
28.50418410041841,-39.499834925470736
28.765690376569037,-40.74690556819101
29.027196652719663,-36.850518206303946
29.288702928870293,-41.689536416555256
29.55020920502092,-30.355560151813904
29.811715481171547,-38.88180848055028
30.073221757322173,-36.3614605410237
30.334728033472803,-41.05781976374707
30.59623430962343,-39.20944690711259
30.857740585774057,-39.37866971393364
31.119246861924683,-36.03189881446894
31.380753138075313,-41.01850482219186
31.64225941422594,-37.86802016945903
31.903765690376567,-37.67282981223454
32.16527196652719,-38.876755522087734
32.42677824267782,-42.76778306153917
32.68828451882845,-41.13834219010158
32.94979079497908,-37.589540036489474
33.21129707112971,-37.67735125642415
33.47280334728033,-30.524824555029014
33.73430962343096,-31.069315932718098
33.99581589958159,-36.721697123861595
34.25732217573221,-36.0189112129827
34.51882845188285,-38.45271966023394
34.78033472803347,-34.0353571907719
35.0418410041841,-29.164790764724742
35.30334728033473,-30.914888895147143
35.56485355648535,-29.901281695373015
35.82635983263598,-50.63346339219825
36.087866108786606,-30.002155522317082
36.34937238493724,-34.50408839752218
36.61087866108787,-39.354451197562824
36.87238493723849,-39.89020577534994
37.13389121338912,-36.52614048343663
37.39539748953975,-34.80765755978654
37.65690376569037,-39.010955087372466
37.918410041841,-32.120672126063965
38.17991631799163,-32.92213812857999
38.44142259414226,-27.663045163740975
38.70292887029289,-29.912707826845462
38.96443514644351,-33.56237810381633
39.22594142259414,-34.652346295024394
39.48744769874477,-38.25165934103238
39.74895397489539,-37.106354964135996
40.01046025104603,-31.787712811763242
40.27196652719665,-40.173687956012614
40.53347280334728,-46.04014530865327
40.79497907949791,-33.114804650200206
41.05648535564853,-41.87159109941497
41.31799163179916,-38.18224963666684
41.579497907949786,-44.616418444147016
41.84100418410041,-35.699434141030174
42.10251046025105,-36.70236663223491
